product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,product_type,id,mean_of_ratings
Lapster 1.5 mtr USB 2.0 Type A Male to USB A Male Cable for computer and laptop,Computers&Accessories,139.0,999.0,86%,4.0,1.313,USBCables,62,Average
AmazonBasics USB Type-C to USB Type-C 2.0 Cable - 3 Feet Laptop (0.9 Meters) - White,Computers&Accessories,329.0,845.0,61%,4.2,29.746,USBCables,63,Good
Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black),Electronics,13.999,24.999,44%,4.2,45.238,SmartTelevisions,64,Good
"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black",Electronics,309.0,1.4,78%,4.4,4.26,HDMICables,65,Good
"Portronics Konnect L 20W PD Quick Charge Type-C to 8-Pin USB Mobile Charging Cable, 1.2M, Tangle Resistant, Fast Data Sync(Grey)",Computers&Accessories,263.0,699.0,62%,4.1,450.0,USBCables,66,Good
Acer 80 cm (32 inches) N Series HD Ready TV AR32NSV53HD (Black),Electronics,7.999,14.99,47%,4.3,457.0,StandardTelevisions,67,Good
"Model-P4 6 Way Swivel Tilt Wall Mount 32-55-inch Full Motion Cantilever for LED,LCD and Plasma TV's",Electronics,1.599,2.999,47%,4.2,2.727,TVWall&CeilingMounts,68,Good
"Amazon Basics USB Type-C to USB-A 2.0 Male Fast Charging Cable for Laptop - 3 Feet (0.9 Meters), Black",Computers&Accessories,219.0,700.0,69%,4.3,20.053,USBCables,69,Good
"oraimo 65W Type C to C Fast Charging Cable USB C to USB C Cable High Speed Syncing, Nylon Braided 1M length with LED Indicator Compatible For Laptop, Macbook, Samsung Galaxy S22 S20 S10 S20Fe S21 S21 Ultra A70 A51 A71 A50S M31 M51 M31S M53 5G",Computers&Accessories,349.0,899.0,61%,4.5,149.0,USBCables,70,Good
"CEDO 65W OnePlus Dash Warp Charge Cable, USB A to Type C Data Sync Fast Charging Cable Compatible with One Plus 3 /3T /5 /5T /6 /6T /7 /7T /7 pro & for All Type C Devices - 1 Meter, Red",Computers&Accessories,349.0,599.0,42%,4.1,210.0,USBCables,71,Good
Redmi 108 cm (43 inches) 4K Ultra HD Android Smart LED TV X43 | L43R7-7AIN (Black),Electronics,26.999,42.999,37%,4.2,45.238,SmartTelevisions,72,Good
"Pinnaclz Original Combo of 2 Micro USB Fast Charging Cable, USB Charging Cable for Data Transfer Perfect for Android Smart Phones White 1.2 Meter Made in India (Pack of 2)",Computers&Accessories,115.0,499.0,77%,4.0,7.732,USBCables,73,Average
"boAt Type C A750 Stress Resistant, Tangle-free, Sturdy Flat Cable with 6.5A Fast Charging & 480Mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Rebellious Black)",Computers&Accessories,399.0,999.0,60%,4.1,1.78,USBCables,74,Good
"Ambrane 2 in 1 Type-C & Micro USB Cable with 60W / 3A Fast Charging, 480 mbps High Data, PD Technology & Quick Charge 3.0, Compatible with All Type-C & Micro USB Devices (ABDC-10, Black)",Computers&Accessories,199.0,499.0,60%,4.1,602.0,USBCables,75,Good
"Ambrane 60W / 3A Fast Charging Output Cable with Type-C to USB for Mobile, Neckband, True Wireless Earphone Charging, 480mbps Data Sync Speed, 1m Length (ACT - AZ10, Black)",Computers&Accessories,179.0,399.0,55%,4.0,1.423,USBCables,76,Average
TCL 80 cm (32 inches) HD Ready Certified Android Smart LED TV 32S5205 (Black),Electronics,10.901,30.99,65%,4.1,398.0,SmartTelevisions,77,Good
